,단맛(설탕),단맛(과일),상큼(새콤 달콤),쓴맛(과일),쓴맛(술),맛,도전의지,도수,도수_val,양,꺼리는 것,기타,Unnamed: 12,탄산,식감,기주,멘트,Unnamed: 17
드림로즈,,1,1.0,,,,,?,3.0,2,,"너무 정직한 레이어를 나누지 않는 것이 특징, 완전 이쁨 무지개 같음",,없음,물,리큐르(큐라소),여친 기분 나쁠 때 이걸 사주세요,
퍼지 네이블,,1,1.0,,,"복숭아, 오렌지, 레몬의 상큼 달콤한 맛",,,2.0,3,탄산,특유의 상큼한 맛,,있음,물,브랜디,,
엘 디아블로,,,1.0,1.0,,"데킬라, 카시스, 라임 주스의 상큼한 맛",데킬라,14,3.0,2,탄산,이름에 비해서 상쾌한 맛이다.,,있음,주스,데킬라,디아블로3하다가 피방에서 잔적있음,
마이타이,,1,1.0,,,"파인애플, 오렌지, 레몬, 라임 주스가 들어감",,,2.0,2,,"타이티어로 최고라는 의미, 럼 베이스의 트로피컬 칵테일의 여왕",,없음,주스,럼,,
멜론 쿨러,,1,,,,"멜론, 복숭아, 파인애플",,,3.0,3,탄산,멜론향과 복숭아향이 잘 섞이면서 탄산감은 채워주는 정도로 마지막에 탄산수 추가,,있음,물,리큐르,멜 론 빙 수 좋 아,
벨리니,1,,1.0,,,복숭아 퓌레 또는 꽃꿀을 스파클링 와인이 넣음,,10,2.0,2,,벨리니는 르네상스 초기에 활동했던 화가의 이름이다. 이탈리아 베네치아 기원,,없음,물,샴페인,,
스프리처,,,1.0,,1.0,화이트 와인 베이스에 탄산!,,,2.0,2,탄산,독일어로 '세게 터지다' 라는 의미이다. 소다수 기포가 마치 춤을 추는 것 같다고 하여 비롯된 이름이다.,,있음,물,와인,가볍게 와인 한잔?,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,http://darkone.egloos.com/category/%EC%A1%B0%EC%A3%BC%20%EC%9E%A1%EB%8B%B4,,,,,,,,,,,,
논알콜 추가하자,,,,,,https://namu.wiki/w/%EB%85%BC%20%EC%95%8C%EC%BD%9C%20%EC%B9%B5%ED%85%8C%EC%9D%BC,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
단 - 초코,"초코, 커피리쿼",,,,,,,,,,,,,,,,,
단 - 과일,"바나나 메론 복숭아, 파인에플",,,,,,,,,,,,,,,,,
상큼 -,오렌지 라임 레몬,,,,,,,,,,,,,,,,,
쓴 - 과일,자몽,,,,,,,,,,,,,,,,,
쓴 - 술,높은 술인데 다른거람 많이 안 섞인가 순수한 술,승완이 커버,,,,,,,,,,,,,,,,
